question,answer
What is the capital of France?," ""The capital of France is Paris."""
What is the largest planet in our solar system?," ""The largest planet in our solar system is Jupiter."""
What language is primarily spoken in Brazil?," ""Portuguese is the primary language spoken in Brazil."""
How many students are in this project group?,There are two members.
how many students are in this group?,There are two members.
Capital of karnataka,Bangalore
Silicon valley of india,Bangalore
What is the project title?,Title = Answer questions about any knowledge base.
Project title,Title= Answer questions about any knowledge base.
National Animal of India,Tiger
Name of your university.,Presidency University
Address of your university,"Rajanukunte,Bangalore"
What is the capital of India?,Delhi
Prime minister of india,Narendra Modi
Chief minister of Karnataka,Siddaramaiah
What important electrical unit was named in honor of Volta?,Volt
Is a drake a male?,yes
"Do all ducks ""quack""?",yes
What animal attracts the most humor and silliness?,The Duck
What is an economic use of a duck?,Meat
What makes it more difficult for a diving duck to fly?,They are heavier
What are the reasons for hunting wild ducks,"Meat, eggs, and feathers"
What kind of ducks feed on land?,Dabbling ducks
What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.
How do elephants communicate over long distances?,by producing and receiving low frequency sound
What are the elephant's ears important for?,temperature regulation
Which land animal has the largest brain?,Elephant
What is the world population of Asian elephants?,60000
Is the flute a musical instrument?,yes
Is it possible to open flutes at one or both ends?,yes
What would a tiger do when seized by a crocodile?,strike at the reptile's eyes with its paws
What butterfly is migratory?,The Monarch butterfly is migratory.
Does Egypt receive the least rainfall in the world?,yes
Since when has Egypt been a republic?,June 18 1953
What is the estimated population of Egypt?,More than 78 million
Are elephants good swimmers?,yes
Programs offered in presidency university,"Btech, BE, Bcom,BCA,BBA,MTECH"
Which country has the highest life expectancy?,Hong Kong
How many minutes are in a full week?,"10,080"
How many dots appear on a pair of dice? ,42
"What is a word, phrase, number, or other sequence of characters that reads the same backward as forward? ",Palindrome
Which planet in the Milky Way is the hottest? ,Venus
Which is the only body part that is fully grown from birth?,Eyes
What is the process by which plants convert sunlight to energy?,Photosynthesis
What is a group of crows called?,the murder
What is the loudest animal on Earth?,Sperm Whale
What is the primary function of a router?,Connectivity
What does 'HTTP' stand for?,HyperText Transfer Protocol
Which device is used primarily for data storage?,Hard Drive
Which protocol ensures secure data transmission?,HTTPS
What format is primarily used for structured data interchange?,XML
What is the term for the lower house of Parliament?,Lok Sabha
What is the official language of the Indian state of Karnataka?,Kannada
What is the name of India's first indigenous aircraft carrier?,INS Vikrant
What is the capital of Japan?,The capital of Japan is Tokyo
What is the boiling point of water in Celsius?,The boiling point of water in Celsius is 100 degrees.
Who was the first President of the United States?,The first President of the United States was George Washington
Who wrote ‘Pride and Prejudice’?,‘Pride and Prejudice’ was written by Jane Austen.
Which country is known as the Land of the Rising Sun?,Japan is known as the Land of the Rising Sun
What gas do humans exhale?,Humans exhale carbon dioxide.
In which year did World War II end?,World War II ended in 1945.
Who painted ‘Starry Night’?,‘Starry Night’ was painted by Vincent van Gogh.
What is the powerhouse of the cell?,The powerhouse of the cell is the mitochondrion.
What sport is known as “the beautiful game”?,Soccer (football) is known as “the beautiful game.”
Which country is home to the Great Barrier Reef?,Australia is home to the Great Barrier Reef.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher was the first female Prime Minister of the UK.
What is the chemical symbol for gold?,The chemical symbol for gold is Au.
What is the hottest planet in our solar system?,Venus is the hottest planet in our solar system.
Who wrote ‘The Great Gatsby’?,‘The Great Gatsby’ was written by F. Scott Fitzgerald.
What is the name of the longest running tennis tournament?,Wimbledon is the longest running tennis tournament.
Which artist is known for the sculpture ‘David’?,The sculpture ‘David’ was created by Michelangelo.
What company developed the first iPhone?,Apple developed the first iPhone.
What type of animal is the largest living creature?,The largest living creature is the blue whale.
Which country is the largest in the world by area?,Russia is the largest country by area.
In which year did the Berlin Wall fall?,The Berlin Wall fell in 1989.
What is the name of the first artificial satellite?,The first artificial satellite is Sputnik 1.
Which country won the first FIFA World Cup?,The first FIFA World Cup was won by Uruguay in 1930.
Who wrote ‘Harry Potter and the Sorcerer’s Stone’?,‘Harry Potter and the Sorcerer’s Stone’ was written by J.K. Rowling.
Who is known for painting ‘The Persistence of Memory’?,The Persistence of Memory’ was painted by Salvador Dalí.
What is the second most abundant element in Earth’s crust?,The second most abundant element in Earth’s crust is silicon.
What year did the American Civil War begin?,The American Civil War began in 1861.
What was the first video game ever created?,The first video game ever created was Pong.
What is the largest bone in the human body?,The largest bone in the human body is the femur.
Which ocean is the largest in the world?,The Pacific Ocean is the largest ocean in the world.
Who holds the record for most Olympic gold medals?,Michael Phelps holds the record for most Olympic gold medals.
Who wrote ‘To Kill a Mockingbird’?,‘To Kill a Mockingbird’ was written by Harper Lee.
Who is the famous artist known for the ‘Blue Period’?,Pablo Picasso is known for the ‘Blue Period’.
Who was the leader of the Soviet Union during World War II?,Joseph Stalin was the leader of the Soviet Union during World War II.
What is the largest moon of Saturn?,The largest moon of Saturn is Titan.
Which country has the most islands?,Sweden has the most islands.
What is the most common gas in the Earth’s atmosphere?,The most common gas in the Earth’s atmosphere is nitrogen.
Who was the last Pharaoh of Egypt?,Cleopatra was the last Pharaoh of Egypt.
Who wrote ‘The Catcher in the Rye’?,‘The Catcher in the Rye’ was written by J.D. Salinger.
What sport is played at the annual Wimbledon tournament?,Tennis is played at the annual Wimbledon tournament.
What is the name of the largest asteroid in our solar system?,The largest asteroid in our solar system is Ceres.
What is the capital of Canada?,The capital of Canada is Ottawa.
Who developed the theory of general relativity?,Albert Einstein developed the theory of general relativity.
In which year was the Declaration of Independence signed?,The Declaration of Independence was signed in 1776.
What was the first computer virus called?,The first computer virus was called ‘Creeper.’
What is the largest organ in the human body?,The largest organ in the human body is the skin.
Who painted the ‘Mona Lisa’?,The ‘Mona Lisa’ was painted by Leonardo da Vinci.
Which mountain is the highest in the world?,Mount Everest is the highest mountain in the world.
What is the chemical formula for methane?,The chemical formula for methane is CH4.
"Who was the first person to circumnavigate the globe?,Ferdinand Magellan’s expedition was the first to circumnavigate the globe.",
"What is the most abundant element in the universe?,The most abundant element in the universe is hydrogen.",
"Which country hosted the 2016 Summer Olympics?,The 2016 Summer Olympics were hosted by Brazil (Rio de Janeiro).",
Who wrote ‘The Odyssey’?,‘The Odyssey’ was written by Homer.
What does “HTTP” stand for in web addresses?,“HTTP” stands for HyperText Transfer Protocol.
What is the largest species of shark?,The largest species of shark is the whale shark.
Which artist is known for the ‘Guernica’ painting?,The painting ‘Guernica’ was created by Pablo Picasso.
What country has won the most Rugby World Cup titles?,New Zealand has won the most Rugby World Cup titles.
Which country is both an island and a continent?,Australia is both an island and a continent.
Which Roman Emperor famously fiddled while Rome burned?,Nero is the Roman Emperor who is famously said to have fiddled while Rome burned.
What is the smallest unit of matter?,The smallest unit of matter is an atom.
Who wrote ‘The Hobbit’?,The Hobbit’ was written by J.R.R. Tolkien.
What is the most used social media platform in the world?,"As of now, Facebook is the most used social media platform."
Which country has the longest coastline in the world?,Canada has the longest coastline in the world.
Who is known for the famous ‘Water Lilies’ paintings?,Claude Monet is known for the ‘Water Lilies’ paintings.
Who was the first emperor of China?,Qin Shi Huang was the first emperor of China.
What is the hardest natural material known to man?,Diamond is the hardest natural material known to man.
In which sport would you perform a slam dunk?,A slam dunk is performed in basketball.
What was the first operating system developed by Microsoft?,The first operating system developed by Microsoft was MS-DOS.
What is the primary function of red blood cells?,The primary function of red blood cells is to carry oxygen.
What desert is the largest in the world?,The Sahara Desert is the largest desert in the world.
What is the most famous galaxy near the Milky Way?,The most famous galaxy near the Milky Way is the Andromeda Galaxy.
Who wrote ‘The Divine Comedy’?,‘The Divine Comedy’ was written by Dante Alighieri.
Who painted the ‘Last Supper’?,The ‘Last Supper’ was painted by Leonardo da Vinci.
What is the national sport of Japan?,The national sport of Japan is sumo wrestling.
What is the name of the longest bone in the human body?,The longest bone in the human body is the femur.
Which country is known as the ‘Land of the Midnight Sun’?,Norway is known as the ‘Land of the Midnight Sun.’
What does “USB” stand for?,“USB” stands for Universal Serial Bus.
Who was the first man to sail around the world solo?,The first man to sail around the world solo was Joshua Slocum.
